SESSIONKEY,USERID,AGENTLOCATIONID,SESSIONSTARTDATE,LASTTXNDATE,SESSIONDATELOCAL,FUNCTIONID,LOGINKEY,REMOTEADDRESS,TXNREFNO,SESSIONSTATUS,SESSIONDATELOCALLASTACCSSED,OTPNO
oz18313104418571,10005amalt,784101,09/11/18 06:44,09/11/18 06:44,09/11/18 10:44,7011,1813635102213660,10.45.0.129, ,1,09/11/18 10:44,
wv18285023528675,10005amalt,784101,12/10/18 10:35,12/10/18 10:35,12/10/18 14:35,7009,1885468615826520,10.45.0.163, ,1,12/10/18 14:35,
xj18285023723729,10005amalt,784101,12/10/18 10:37,12/10/18 10:37,12/10/18 14:37,7009,1885468615826520,10.45.0.163, ,1,12/10/18 14:37,
wt18281104341632,10005ajithm,784101,08/10/18 06:43,08/10/18 06:43,08/10/18 10:43,7008,1881835720290380,10.45.0.152, ,1,08/10/18 10:43,
jg18281105337270,10005ajithm,784198,08/10/18 06:53,08/10/18 06:53,08/10/18 10:53,7008,1881554404974830,10.45.0.152, ,1,08/10/18 10:53,
ps18281105346340,10005ajithm,784198,08/10/18 06:53,08/10/18 06:53,08/10/18 10:53,7008,1881554404974830,10.45.0.152, ,1,08/10/18 10:53,
zy18281105415202,10005ajithm,784198,08/10/18 06:54,08/10/18 06:54,08/10/18 10:54,7008,1881554404974830,10.45.0.152, ,1,08/10/18 10:54,
hn18281111505637,10005ajithm,784101,08/10/18 07:15,08/10/18 07:15,08/10/18 11:15,7008,1881100153268200,10.45.0.152, ,1,08/10/18 11:15,
ee18281111516081,10005ajithm,784101,08/10/18 07:15,08/10/18 07:15,08/10/18 11:15,7008,1881100153268200,10.45.0.152, ,1,08/10/18 11:15,
ls18282122735140,10005ajithm,356175,05/10/18 08:27,05/10/18 08:27,05/10/18 13:57,7008,1882583945743160,10.45.0.152, ,1,05/10/18 13:57,
gc18282122755030,10005ajithm,356175,05/10/18 08:27,05/10/18 08:27,05/10/18 13:57,7008,1882583945743160,10.45.0.152, ,1,05/10/18 13:57,
ae18313100048348,10005amalt,784101,09/11/18 06:00,09/11/18 06:00,09/11/18 10:00,7007,1813635102213660,10.45.0.129, ,1,09/11/18 10:00,
